ids,labels,parents
Richmond - VA - south-atlantic,Richmond,VA - south-atlantic
Charlotte - NC - south-atlantic,Charlotte,NC - south-atlantic
Gebbie Corner - VT - new-england,Gebbie Corner,VT - new-england
Pagetown - OH - great-lakes,Pagetown,OH - great-lakes
Darien - IL - great-lakes,Darien,IL - great-lakes
Oceanside - CA - pacific,Oceanside,CA - pacific
Beacon - NY - mid-atlantic,Beacon,NY - mid-atlantic
Desert Villas - AZ - southwest,Desert Villas,AZ - southwest
Miami - FL - south-atlantic,Miami,FL - south-atlantic
Athens - OH - great-lakes,Athens,OH - great-lakes
Ocean Township - NJ - mid-atlantic,Ocean Township,NJ - mid-atlantic
Wofford Heights - CA - pacific,Wofford Heights,CA - pacific
Clinton Township - MI - great-lakes,Clinton Township,MI - great-lakes
Albuquerque - NM - southwest,Albuquerque,NM - southwest
Petaluma - CA - pacific,Petaluma,CA - pacific
Garland - TX - southwest,Garland,TX - southwest
Waitsfield - VT - new-england,Waitsfield,VT - new-england
Bakersfield - CA - pacific,Bakersfield,CA - pacific
Stillwater - MN - midwest,Stillwater,MN - midwest
Washougal - WA - northwest,Washougal,WA - northwest
Little Rock - AR - south,Little Rock,AR - south
Des Moines - IA - midwest,Des Moines,IA - midwest
Todds Corners - ME - new-england,Todds Corners,ME - new-england
Fort Worth - TX - southwest,Fort Worth,TX - southwest
Jackson - WY - mountain,Jackson,WY - mountain
Elk Grove Village - IL - great-lakes,Elk Grove Village,IL - great-lakes
Torrance - CA - pacific,Torrance,CA - pacific
Auburn - CA - pacific,Auburn,CA - pacific
Villa Park - IL - great-lakes,Villa Park,IL - great-lakes
Flagstaff - AZ - southwest,Flagstaff,AZ - southwest
Florissant - MO - midwest,Florissant,MO - midwest
Fort Collins - CO - mountain,Fort Collins,CO - mountain
Woodbridge - CT - new-england,Woodbridge,CT - new-england
Exeter - WI - great-lakes,Exeter,WI - great-lakes
New Orleans - LA - south,New Orleans,LA - south
Katy - TX - southwest,Katy,TX - southwest
Fort Bragg - CA - pacific,Fort Bragg,CA - pacific
Carters - VA - south-atlantic,Carters,VA - south-atlantic
Grand Haven - MI - great-lakes,Grand Haven,MI - great-lakes
Lafayette - CO - mountain,Lafayette,CO - mountain
Williamston - MI - great-lakes,Williamston,MI - great-lakes
Hickory - NC - south-atlantic,Hickory,NC - south-atlantic
Frisco - CO - mountain,Frisco,CO - mountain
Rogers - AR - south,Rogers,AR - south
Broussard - LA - south,Broussard,LA - south
Pacific City - OR - northwest,Pacific City,OR - northwest
Alpine - MI - great-lakes,Alpine,MI - great-lakes
Auburn - NY - mid-atlantic,Auburn,NY - mid-atlantic
