ids,labels,parents
Belgian Saison - Casa Agria Specialty Ales - Oxnard - CA - pacific,Belgian Saison,Casa Agria Specialty Ales - Oxnard - CA - pacific
American Wild Ale - Cascade Brewing / Raccoon Lodge & Brewpub - Raleigh Hills - OR - northwest,American Wild Ale,Cascade Brewing / Raccoon Lodge & Brewpub - Raleigh Hills - OR - northwest
American Imperial Stout - Cascade Brewing / Raccoon Lodge & Brewpub - Raleigh Hills - OR - northwest,American Imperial Stout,Cascade Brewing / Raccoon Lodge & Brewpub - Raleigh Hills - OR - northwest
Belgian Saison - Casey Brewing & Blending - Glenwood Springs - CO - mountain,Belgian Saison,Casey Brewing & Blending - Glenwood Springs - CO - mountain
American Wild Ale - Casey Brewing & Blending - Glenwood Springs - CO - mountain,American Wild Ale,Casey Brewing & Blending - Glenwood Springs - CO - mountain
American Imperial Stout - Casita Cerveceria - Reba - NC - south-atlantic,American Imperial Stout,Casita Cerveceria - Reba - NC - south-atlantic
Smoke Porter - Cellarmaker Brewing Co. - San Francisco - CA - pacific,Smoke Porter,Cellarmaker Brewing Co. - San Francisco - CA - pacific
American Imperial Stout - Cellarmaker Brewing Co. - San Francisco - CA - pacific,American Imperial Stout,Cellarmaker Brewing Co. - San Francisco - CA - pacific
American Imperial IPA - Cellarmaker Brewing Co. - San Francisco - CA - pacific,American Imperial IPA,Cellarmaker Brewing Co. - San Francisco - CA - pacific
American Imperial Stout - Central Waters Brewing Co. - Amherst - WI - great-lakes,American Imperial Stout,Central Waters Brewing Co. - Amherst - WI - great-lakes
New England IPA - Charles Towne Fermentory - Charleston - SC - south-atlantic,New England IPA,Charles Towne Fermentory - Charleston - SC - south-atlantic
American Imperial Stout - Cigar City Brewing - Tampa - FL - south-atlantic,American Imperial Stout,Cigar City Brewing - Tampa - FL - south-atlantic
Russian Imperial Stout - Cigar City Brewing - Tampa - FL - south-atlantic,Russian Imperial Stout,Cigar City Brewing - Tampa - FL - south-atlantic
Scotch Ale / Wee Heavy - Cigar City Brewing - Tampa - FL - south-atlantic,Scotch Ale / Wee Heavy,Cigar City Brewing - Tampa - FL - south-atlantic
English Sweet / Milk Stout - Cigar City Brewing - Tampa - FL - south-atlantic,English Sweet / Milk Stout,Cigar City Brewing - Tampa - FL - south-atlantic
British Barleywine - Cigar City Brewing - Tampa - FL - south-atlantic,British Barleywine,Cigar City Brewing - Tampa - FL - south-atlantic
American Pale Wheat Ale - Civil Society Brewing - Jupiter - FL - south-atlantic,American Pale Wheat Ale,Civil Society Brewing - Jupiter - FL - south-atlantic
American Imperial IPA - Columbus Brewing Company - Columbus - OH - great-lakes,American Imperial IPA,Columbus Brewing Company - Columbus - OH - great-lakes
Russian Imperial Stout - Community Beer Company - Dallas - TX - southwest,Russian Imperial Stout,Community Beer Company - Dallas - TX - southwest
American IPA - Comrade Brewing Company - Sullivan - CO - mountain,American IPA,Comrade Brewing Company - Sullivan - CO - mountain
American Black Ale - Country Boy Brewing - Lexington - KY - south,American Black Ale,Country Boy Brewing - Lexington - KY - south
American Imperial Stout - Creature Comforts - Athens-Clarke County - GA - south-atlantic,American Imperial Stout,Creature Comforts - Athens-Clarke County - GA - south-atlantic
American Imperial IPA - Creature Comforts - Athens-Clarke County - GA - south-atlantic,American Imperial IPA,Creature Comforts - Athens-Clarke County - GA - south-atlantic
American IPA - Creature Comforts - Athens-Clarke County - GA - south-atlantic,American IPA,Creature Comforts - Athens-Clarke County - GA - south-atlantic
American Brett - Crooked Stave Artisan Beer Project - Denver - CO - mountain,American Brett,Crooked Stave Artisan Beer Project - Denver - CO - mountain
American Wild Ale - Crooked Stave Artisan Beer Project - Denver - CO - mountain,American Wild Ale,Crooked Stave Artisan Beer Project - Denver - CO - mountain
American Imperial Stout - Cycle Brewing - Saint Petersburg - FL - south-atlantic,American Imperial Stout,Cycle Brewing - Saint Petersburg - FL - south-atlantic
Russian Imperial Stout - Dark Horse Brewing Company - Marshall - MI - great-lakes,Russian Imperial Stout,Dark Horse Brewing Company - Marshall - MI - great-lakes
American Imperial Stout - Deschutes Brewery - Bend - OR - northwest,American Imperial Stout,Deschutes Brewery - Bend - OR - northwest
American IPA - Deschutes Brewery - Bend - OR - northwest,American IPA,Deschutes Brewery - Bend - OR - northwest
American Barleywine - Deschutes Brewery - Bend - OR - northwest,American Barleywine,Deschutes Brewery - Bend - OR - northwest
New England IPA - Disgruntled Brewing - Perham - MN - midwest,New England IPA,Disgruntled Brewing - Perham - MN - midwest
American Imperial Stout - Dogfish Head Craft Brewery - Milton - DE - mid-atlantic,American Imperial Stout,Dogfish Head Craft Brewery - Milton - DE - mid-atlantic
Flanders Red Ale - Double Mountain Brewery & Taproom - Hood River - OR - northwest,Flanders Red Ale,Double Mountain Brewery & Taproom - Hood River - OR - northwest
American Imperial IPA - Dragoon Brewing Co. - Tucson - AZ - southwest,American Imperial IPA,Dragoon Brewing Co. - Tucson - AZ - southwest
American Imperial Porter - Druid City Brewing Company - Tuscaloosa - AL - south,American Imperial Porter,Druid City Brewing Company - Tuscaloosa - AL - south
British Barleywine - Dry Dock Brewing Co. - Aurora - CO - mountain,British Barleywine,Dry Dock Brewing Co. - Aurora - CO - mountain
American Imperial Porter - Dry Dock Brewing Co. - Aurora - CO - mountain,American Imperial Porter,Dry Dock Brewing Co. - Aurora - CO - mountain
American Imperial Stout - Epic Brewing Company - Salt Lake City - UT - mountain,American Imperial Stout,Epic Brewing Company - Salt Lake City - UT - mountain
New England IPA - Equilibrium Brewery - Middletown - NY - mid-atlantic,New England IPA,Equilibrium Brewery - Middletown - NY - mid-atlantic
American Imperial IPA - Equilibrium Brewery - Middletown - NY - mid-atlantic,American Imperial IPA,Equilibrium Brewery - Middletown - NY - mid-atlantic
Russian Imperial Stout - Ethereal Brewing - Lexington - KY - south,Russian Imperial Stout,Ethereal Brewing - Lexington - KY - south
New England IPA - Ethereal Brewing - Lexington - KY - south,New England IPA,Ethereal Brewing - Lexington - KY - south
American Imperial Stout - Evil Twin Brewing - New York City - NY - mid-atlantic,American Imperial Stout,Evil Twin Brewing - New York City - NY - mid-atlantic
New England IPA - Fair State Brewing Cooperative - Minneapolis - MN - midwest,New England IPA,Fair State Brewing Cooperative - Minneapolis - MN - midwest
American Imperial IPA - Fat Head's Brewery & Saloon - Middleburg Heights - OH - great-lakes,American Imperial IPA,Fat Head's Brewery & Saloon - Middleburg Heights - OH - great-lakes
New England IPA - Fiddlehead Brewing Company - Shelburne - VT - new-england,New England IPA,Fiddlehead Brewing Company - Shelburne - VT - new-england
American Imperial IPA - Fiddlehead Brewing Company - Shelburne - VT - new-england,American Imperial IPA,Fiddlehead Brewing Company - Shelburne - VT - new-england
American Imperial Stout - FiftyFifty Brewing Co. - Truckee - CA - pacific,American Imperial Stout,FiftyFifty Brewing Co. - Truckee - CA - pacific
American Imperial Stout - Finback Brewery - New York City - NY - mid-atlantic,American Imperial Stout,Finback Brewery - New York City - NY - mid-atlantic
Belgian Quadrupel (Quad) - Firestone Walker Brewing Co. - El Paso de Robles (Paso Robles) - CA - pacific,Belgian Quadrupel (Quad),Firestone Walker Brewing Co. - El Paso de Robles (Paso Robles) - CA - pacific
British Barleywine - Firestone Walker Brewing Co. - El Paso de Robles (Paso Robles) - CA - pacific,British Barleywine,Firestone Walker Brewing Co. - El Paso de Robles (Paso Robles) - CA - pacific
Russian Imperial Stout - Firestone Walker Brewing Co. - El Paso de Robles (Paso Robles) - CA - pacific,Russian Imperial Stout,Firestone Walker Brewing Co. - El Paso de Robles (Paso Robles) - CA - pacific
Berliner Weisse - Firestone Walker Brewing Co. - El Paso de Robles (Paso Robles) - CA - pacific,Berliner Weisse,Firestone Walker Brewing Co. - El Paso de Robles (Paso Robles) - CA - pacific
British Barleywine - Flossmoor Station Restaurant & Brewery - Flossmoor - IL - great-lakes,British Barleywine,Flossmoor Station Restaurant & Brewery - Flossmoor - IL - great-lakes
Russian Imperial Stout - Foothills Brewing Company - Downtown Brewpub - Winston-Salem - NC - south-atlantic,Russian Imperial Stout,Foothills Brewing Company - Downtown Brewpub - Winston-Salem - NC - south-atlantic
American Imperial Porter - Forager Brewing Company - Rochester - MN - midwest,American Imperial Porter,Forager Brewing Company - Rochester - MN - midwest
American Imperial Stout - Forager Brewing Company - Rochester - MN - midwest,American Imperial Stout,Forager Brewing Company - Rochester - MN - midwest
New England IPA - Foundation Brewing Company - Portland - ME - new-england,New England IPA,Foundation Brewing Company - Portland - ME - new-england
Scotch Ale / Wee Heavy - Founders Brewing Company - Grand Rapids - MI - great-lakes,Scotch Ale / Wee Heavy,Founders Brewing Company - Grand Rapids - MI - great-lakes
American Imperial Stout - Founders Brewing Company - Grand Rapids - MI - great-lakes,American Imperial Stout,Founders Brewing Company - Grand Rapids - MI - great-lakes
American Brown Ale - Founders Brewing Company - Grand Rapids - MI - great-lakes,American Brown Ale,Founders Brewing Company - Grand Rapids - MI - great-lakes
Russian Imperial Stout - Founders Brewing Company - Grand Rapids - MI - great-lakes,Russian Imperial Stout,Founders Brewing Company - Grand Rapids - MI - great-lakes
American Imperial Porter - Founders Brewing Company - Grand Rapids - MI - great-lakes,American Imperial Porter,Founders Brewing Company - Grand Rapids - MI - great-lakes
American Wild Ale - Freetail Brewing Company - San Antonio - TX - southwest,American Wild Ale,Freetail Brewing Company - San Antonio - TX - southwest
American Strong Ale - Fremont Brewing Company - Seattle - WA - northwest,American Strong Ale,Fremont Brewing Company - Seattle - WA - northwest
English Oatmeal Stout - Fremont Brewing Company - Seattle - WA - northwest,English Oatmeal Stout,Fremont Brewing Company - Seattle - WA - northwest
British Barleywine - Fremont Brewing Company - Seattle - WA - northwest,British Barleywine,Fremont Brewing Company - Seattle - WA - northwest
American Pale Ale (APA) - Fremont Brewing Company - Seattle - WA - northwest,American Pale Ale (APA),Fremont Brewing Company - Seattle - WA - northwest
American Wild Ale - Funk Factory Geuzeria - Madison - WI - great-lakes,American Wild Ale,Funk Factory Geuzeria - Madison - WI - great-lakes
American Porter - Funky Buddha Brewery - Oakland Park - FL - south-atlantic,American Porter,Funky Buddha Brewery - Oakland Park - FL - south-atlantic
Russian Imperial Stout - Funky Buddha Brewery - Oakland Park - FL - south-atlantic,Russian Imperial Stout,Funky Buddha Brewery - Oakland Park - FL - south-atlantic
American Imperial Porter - Funky Buddha Brewery - Oakland Park - FL - south-atlantic,American Imperial Porter,Funky Buddha Brewery - Oakland Park - FL - south-atlantic
Leipzig Gose - Funky Buddha Brewery - Oakland Park - FL - south-atlantic,Leipzig Gose,Funky Buddha Brewery - Oakland Park - FL - south-atlantic
American Imperial IPA - Gnarly Barley Brewing Company - Hammond - LA - south,American Imperial IPA,Gnarly Barley Brewing Company - Hammond - LA - south
New England IPA - Gnarly Barley Brewing Company - Hammond - LA - south,New England IPA,Gnarly Barley Brewing Company - Hammond - LA - south
American Porter - Gnarly Barley Brewing Company - Hammond - LA - south,American Porter,Gnarly Barley Brewing Company - Hammond - LA - south
Russian Imperial Stout - Good People Brewing Company - Birmingham - AL - south,Russian Imperial Stout,Good People Brewing Company - Birmingham - AL - south
American Imperial IPA - Good People Brewing Company - Birmingham - AL - south,American Imperial IPA,Good People Brewing Company - Birmingham - AL - south
American IPA - Good People Brewing Company - Birmingham - AL - south,American IPA,Good People Brewing Company - Birmingham - AL - south
American Imperial Stout - Goose Island Beer Co. - Chicago - IL - great-lakes,American Imperial Stout,Goose Island Beer Co. - Chicago - IL - great-lakes
British Barleywine - Goose Island Beer Co. - Chicago - IL - great-lakes,British Barleywine,Goose Island Beer Co. - Chicago - IL - great-lakes
American Barleywine - Great Divide Brewing Company - Denver - CO - mountain,American Barleywine,Great Divide Brewing Company - Denver - CO - mountain
American Imperial Stout - Great Divide Brewing Company - Denver - CO - mountain,American Imperial Stout,Great Divide Brewing Company - Denver - CO - mountain
Russian Imperial Stout - Great Lakes Brewing Co. - Cleveland - OH - great-lakes,Russian Imperial Stout,Great Lakes Brewing Co. - Cleveland - OH - great-lakes
New England IPA - Great Notion Brewing - Portland - OR - northwest,New England IPA,Great Notion Brewing - Portland - OR - northwest
American Imperial Stout - Great Notion Brewing - Portland - OR - northwest,American Imperial Stout,Great Notion Brewing - Portland - OR - northwest
American Imperial IPA - Great Notion Brewing - Portland - OR - northwest,American Imperial IPA,Great Notion Brewing - Portland - OR - northwest
Berliner Weisse - Great Notion Brewing - Portland - OR - northwest,Berliner Weisse,Great Notion Brewing - Portland - OR - northwest
American Lager - Great Raft Brewing - Shreveport - LA - south,American Lager,Great Raft Brewing - Shreveport - LA - south
American Imperial IPA - Great Raft Brewing - Shreveport - LA - south,American Imperial IPA,Great Raft Brewing - Shreveport - LA - south
American IPA - Great Raft Brewing - Shreveport - LA - south,American IPA,Great Raft Brewing - Shreveport - LA - south
Baltic Porter - Great Raft Brewing - Shreveport - LA - south,Baltic Porter,Great Raft Brewing - Shreveport - LA - south
Belgian Saison - Great Raft Brewing - Shreveport - LA - south,Belgian Saison,Great Raft Brewing - Shreveport - LA - south
American Wild Ale - Green Man Brewery - Asheville - NC - south-atlantic,American Wild Ale,Green Man Brewery - Asheville - NC - south-atlantic
New England IPA - Grimm Artisanal Ales - New York City - NY - mid-atlantic,New England IPA,Grimm Artisanal Ales - New York City - NY - mid-atlantic
American Imperial IPA - Grimm Artisanal Ales - New York City - NY - mid-atlantic,American Imperial IPA,Grimm Artisanal Ales - New York City - NY - mid-atlantic
English Old Ale - Hair Of The Dog Brewing Company / Brewery And Tasting Room - Portland - OR - northwest,English Old Ale,Hair Of The Dog Brewing Company / Brewery And Tasting Room - Portland - OR - northwest
American Strong Ale - Hair Of The Dog Brewing Company / Brewery And Tasting Room - Portland - OR - northwest,American Strong Ale,Hair Of The Dog Brewing Company / Brewery And Tasting Room - Portland - OR - northwest
American IPA - Half Acre Beer Company - Chicago - IL - great-lakes,American IPA,Half Acre Beer Company - Chicago - IL - great-lakes
Russian Imperial Stout - Hangar 24 Brewing - Redlands - CA - pacific,Russian Imperial Stout,Hangar 24 Brewing - Redlands - CA - pacific
English Sweet / Milk Stout - Hardywood Park Craft Brewery - Richmond - VA - south-atlantic,English Sweet / Milk Stout,Hardywood Park Craft Brewery - Richmond - VA - south-atlantic
American Imperial Stout - Haymarket Beer Co. Pub & Brewery - Chicago - IL - great-lakes,American Imperial Stout,Haymarket Beer Co. Pub & Brewery - Chicago - IL - great-lakes
New England IPA - Heist Brewery - Charlotte - NC - south-atlantic,New England IPA,Heist Brewery - Charlotte - NC - south-atlantic
American Imperial IPA - Heist Brewery - Charlotte - NC - south-atlantic,American Imperial IPA,Heist Brewery - Charlotte - NC - south-atlantic
New England IPA - Hill Farmstead Brewery - Gebbie Corner - VT - new-england,New England IPA,Hill Farmstead Brewery - Gebbie Corner - VT - new-england
Belgian Saison - Hill Farmstead Brewery - Gebbie Corner - VT - new-england,Belgian Saison,Hill Farmstead Brewery - Gebbie Corner - VT - new-england
American Imperial Stout - Hill Farmstead Brewery - Gebbie Corner - VT - new-england,American Imperial Stout,Hill Farmstead Brewery - Gebbie Corner - VT - new-england
Russian Imperial Stout - Hill Farmstead Brewery - Gebbie Corner - VT - new-england,Russian Imperial Stout,Hill Farmstead Brewery - Gebbie Corner - VT - new-england
American Porter - Hill Farmstead Brewery - Gebbie Corner - VT - new-england,American Porter,Hill Farmstead Brewery - Gebbie Corner - VT - new-england
American Imperial Porter - Hill Farmstead Brewery - Gebbie Corner - VT - new-england,American Imperial Porter,Hill Farmstead Brewery - Gebbie Corner - VT - new-england
British Barleywine - Hill Farmstead Brewery - Gebbie Corner - VT - new-england,British Barleywine,Hill Farmstead Brewery - Gebbie Corner - VT - new-england
American Pale Ale (APA) - Hill Farmstead Brewery - Gebbie Corner - VT - new-england,American Pale Ale (APA),Hill Farmstead Brewery - Gebbie Corner - VT - new-england
American Imperial Stout - Holy Mountain Brewing Company - Seattle - WA - northwest,American Imperial Stout,Holy Mountain Brewing Company - Seattle - WA - northwest
American Wild Ale - Holy Mountain Brewing Company - Seattle - WA - northwest,American Wild Ale,Holy Mountain Brewing Company - Seattle - WA - northwest
Belgian Saison - Holy Mountain Brewing Company - Seattle - WA - northwest,Belgian Saison,Holy Mountain Brewing Company - Seattle - WA - northwest
New England IPA - Holy Mountain Brewing Company - Seattle - WA - northwest,New England IPA,Holy Mountain Brewing Company - Seattle - WA - northwest
New England IPA - Hoof Hearted Brewing - Pagetown - OH - great-lakes,New England IPA,Hoof Hearted Brewing - Pagetown - OH - great-lakes
American Imperial IPA - Hoof Hearted Brewing - Pagetown - OH - great-lakes,American Imperial IPA,Hoof Hearted Brewing - Pagetown - OH - great-lakes
American Imperial IPA - Hop Butcher For The World - Darien - IL - great-lakes,American Imperial IPA,Hop Butcher For The World - Darien - IL - great-lakes
American Imperial Stout - Horus Aged Ales - Oceanside - CA - pacific,American Imperial Stout,Horus Aged Ales - Oceanside - CA - pacific
New England IPA - Hudson Valley Brewery - Beacon - NY - mid-atlantic,New England IPA,Hudson Valley Brewery - Beacon - NY - mid-atlantic
German Kölsch - Huss Brewing Co - Desert Villas - AZ - southwest,German Kölsch,Huss Brewing Co - Desert Villas - AZ - southwest
American Imperial Stout - Indeed Brewing Company - Minneapolis - MN - midwest,American Imperial Stout,Indeed Brewing Company - Minneapolis - MN - midwest
American Imperial Stout - J. Wakefield Brewing - Miami - FL - south-atlantic,American Imperial Stout,J. Wakefield Brewing - Miami - FL - south-atlantic
Berliner Weisse - J. Wakefield Brewing - Miami - FL - south-atlantic,Berliner Weisse,J. Wakefield Brewing - Miami - FL - south-atlantic
American Imperial Stout - Jackie O's Pub & Brewery - Athens - OH - great-lakes,American Imperial Stout,Jackie O's Pub & Brewery - Athens - OH - great-lakes
American Imperial Porter - Jackie O's Pub & Brewery - Athens - OH - great-lakes,American Imperial Porter,Jackie O's Pub & Brewery - Athens - OH - great-lakes
American Wild Ale - Jester King Brewery - Austin - TX - southwest,American Wild Ale,Jester King Brewery - Austin - TX - southwest
Belgian Fruit Lambic - Jester King Brewery - Austin - TX - southwest,Belgian Fruit Lambic,Jester King Brewery - Austin - TX - southwest
Belgian Saison - Jester King Brewery - Austin - TX - southwest,Belgian Saison,Jester King Brewery - Austin - TX - southwest
French Bière de Garde - Jester King Brewery - Austin - TX - southwest,French Bière de Garde,Jester King Brewery - Austin - TX - southwest
Flanders Red Ale - Jester King Brewery - Austin - TX - southwest,Flanders Red Ale,Jester King Brewery - Austin - TX - southwest
Belgian Gueuze - Jester King Brewery - Austin - TX - southwest,Belgian Gueuze,Jester King Brewery - Austin - TX - southwest
American Imperial Stout - Kane Brewing Company - Ocean Township - NJ - mid-atlantic,American Imperial Stout,Kane Brewing Company - Ocean Township - NJ - mid-atlantic
New England IPA - Kane Brewing Company - Ocean Township - NJ - mid-atlantic,New England IPA,Kane Brewing Company - Ocean Township - NJ - mid-atlantic
American Imperial Porter - Kane Brewing Company - Ocean Township - NJ - mid-atlantic,American Imperial Porter,Kane Brewing Company - Ocean Township - NJ - mid-atlantic
American Imperial IPA - Karbach Brewing Co. - Houston - TX - southwest,American Imperial IPA,Karbach Brewing Co. - Houston - TX - southwest
American Imperial Porter - Karbach Brewing Co. - Houston - TX - southwest,American Imperial Porter,Karbach Brewing Co. - Houston - TX - southwest
American Imperial IPA - Kern River Brewing Company - Wofford Heights - CA - pacific,American Imperial IPA,Kern River Brewing Company - Wofford Heights - CA - pacific
German Eisbock - Kuhnhenn Brewing Company - Clinton Township - MI - great-lakes,German Eisbock,Kuhnhenn Brewing Company - Clinton Township - MI - great-lakes
American Imperial IPA - Kuhnhenn Brewing Company - Clinton Township - MI - great-lakes,American Imperial IPA,Kuhnhenn Brewing Company - Clinton Township - MI - great-lakes
British Barleywine - Kuhnhenn Brewing Company - Clinton Township - MI - great-lakes,British Barleywine,Kuhnhenn Brewing Company - Clinton Township - MI - great-lakes
American Imperial Stout - Kuhnhenn Brewing Company - Clinton Township - MI - great-lakes,American Imperial Stout,Kuhnhenn Brewing Company - Clinton Township - MI - great-lakes
English Old Ale - Kuhnhenn Brewing Company - Clinton Township - MI - great-lakes,English Old Ale,Kuhnhenn Brewing Company - Clinton Township - MI - great-lakes
New England IPA - LIC Beer Project - New York City - NY - mid-atlantic,New England IPA,LIC Beer Project - New York City - NY - mid-atlantic
American Imperial IPA - La Cumbre Brewing Co. - Albuquerque - NM - southwest,American Imperial IPA,La Cumbre Brewing Co. - Albuquerque - NM - southwest
English Sweet / Milk Stout - La Cumbre Brewing Co. - Albuquerque - NM - southwest,English Sweet / Milk Stout,La Cumbre Brewing Co. - Albuquerque - NM - southwest
American IPA - La Cumbre Brewing Co. - Albuquerque - NM - southwest,American IPA,La Cumbre Brewing Co. - Albuquerque - NM - southwest
American Pale Ale (APA) - Lagunitas Brewing Company - Petaluma - CA - pacific,American Pale Ale (APA),Lagunitas Brewing Company - Petaluma - CA - pacific
English Sweet / Milk Stout - Lakewood Brewing Company - Garland - TX - southwest,English Sweet / Milk Stout,Lakewood Brewing Company - Garland - TX - southwest
American Imperial IPA - Lawson's Finest Liquids - Waitsfield - VT - new-england,American Imperial IPA,Lawson's Finest Liquids - Waitsfield - VT - new-england
American Imperial IPA - Lengthwise Brewing Company - Bakersfield - CA - pacific,American Imperial IPA,Lengthwise Brewing Company - Bakersfield - CA - pacific
Russian Imperial Stout - Lift Bridge Brewery - Stillwater - MN - midwest,Russian Imperial Stout,Lift Bridge Brewery - Stillwater - MN - midwest
American Barleywine - Live Oak Brewing Company - Austin - TX - southwest,American Barleywine,Live Oak Brewing Company - Austin - TX - southwest
German Weizenbock - Live Oak Brewing Company - Austin - TX - southwest,German Weizenbock,Live Oak Brewing Company - Austin - TX - southwest
German Hefeweizen - Live Oak Brewing Company - Austin - TX - southwest,German Hefeweizen,Live Oak Brewing Company - Austin - TX - southwest
Belgian Saison - Logsdon Farmhouse Ales - Washougal - WA - northwest,Belgian Saison,Logsdon Farmhouse Ales - Washougal - WA - northwest
American Imperial Stout - Lost Forty Brewery - Little Rock - AR - south,American Imperial Stout,Lost Forty Brewery - Little Rock - AR - south
New England IPA - Lost Forty Brewery - Little Rock - AR - south,New England IPA,Lost Forty Brewery - Little Rock - AR - south
American Imperial Stout - Madhouse Brewing Company - Des Moines - IA - midwest,American Imperial Stout,Madhouse Brewing Company - Des Moines - IA - midwest
New England IPA - Maine Beer Company - Todds Corners - ME - new-england,New England IPA,Maine Beer Company - Todds Corners - ME - new-england
American Imperial Stout - Martin House Brewing Company - Fort Worth - TX - southwest,American Imperial Stout,Martin House Brewing Company - Fort Worth - TX - southwest
American Imperial IPA - Melvin Brewing / Thai Me Up - Jackson - WY - mountain,American Imperial IPA,Melvin Brewing / Thai Me Up - Jackson - WY - mountain
American Imperial Stout - Midnight Sun Brewing Co. - Anchorage - AK - northwest,American Imperial Stout,Midnight Sun Brewing Co. - Anchorage - AK - northwest
British Barleywine - Midnight Sun Brewing Co. - Anchorage - AK - northwest,British Barleywine,Midnight Sun Brewing Co. - Anchorage - AK - northwest
Russian Imperial Stout - Midnight Sun Brewing Co. - Anchorage - AK - northwest,Russian Imperial Stout,Midnight Sun Brewing Co. - Anchorage - AK - northwest
American Imperial Stout - Mikerphone Brewing - Elk Grove Village - IL - great-lakes,American Imperial Stout,Mikerphone Brewing - Elk Grove Village - IL - great-lakes
New England IPA - Mikerphone Brewing - Elk Grove Village - IL - great-lakes,New England IPA,Mikerphone Brewing - Elk Grove Village - IL - great-lakes
American Stout - Mile Wide Beer Co. - Louisville - KY - south,American Stout,Mile Wide Beer Co. - Louisville - KY - south
American IPA - Mile Wide Beer Co. - Louisville - KY - south,American IPA,Mile Wide Beer Co. - Louisville - KY - south
American Barleywine - Minneapolis Town Hall Brewery - Minneapolis - MN - midwest,American Barleywine,Minneapolis Town Hall Brewery - Minneapolis - MN - midwest
Russian Imperial Stout - Minneapolis Town Hall Brewery - Minneapolis - MN - midwest,Russian Imperial Stout,Minneapolis Town Hall Brewery - Minneapolis - MN - midwest
English Sweet / Milk Stout - Minneapolis Town Hall Brewery - Minneapolis - MN - midwest,English Sweet / Milk Stout,Minneapolis Town Hall Brewery - Minneapolis - MN - midwest
American IPA - Minneapolis Town Hall Brewery - Minneapolis - MN - midwest,American IPA,Minneapolis Town Hall Brewery - Minneapolis - MN - midwest
American Imperial Stout - Modern Times Beer - San Diego - CA - pacific,American Imperial Stout,Modern Times Beer - San Diego - CA - pacific
New England IPA - Modern Times Beer - San Diego - CA - pacific,New England IPA,Modern Times Beer - San Diego - CA - pacific
American Imperial IPA - Monkish Brewing Co. - Torrance - CA - pacific,American Imperial IPA,Monkish Brewing Co. - Torrance - CA - pacific
New England IPA - Monkish Brewing Co. - Torrance - CA - pacific,New England IPA,Monkish Brewing Co. - Torrance - CA - pacific
American Imperial IPA - Moonraker Brewing Company - Auburn - CA - pacific,American Imperial IPA,Moonraker Brewing Company - Auburn - CA - pacific
New England IPA - Moonraker Brewing Company - Auburn - CA - pacific,New England IPA,Moonraker Brewing Company - Auburn - CA - pacific
American Imperial Stout - More Brewing Co. - Villa Park - IL - great-lakes,American Imperial Stout,More Brewing Co. - Villa Park - IL - great-lakes
American IPA - Mother Road Brewery - Flagstaff - AZ - southwest,American IPA,Mother Road Brewery - Flagstaff - AZ - southwest
American Imperial IPA - Mountain Sun Pub & Brewery - Boulder - CO - mountain,American Imperial IPA,Mountain Sun Pub & Brewery - Boulder - CO - mountain
American Imperial IPA - Narrow Gauge Brewing Company - Florissant - MO - midwest,American Imperial IPA,Narrow Gauge Brewing Company - Florissant - MO - midwest
New England IPA - Narrow Gauge Brewing Company - Florissant - MO - midwest,New England IPA,Narrow Gauge Brewing Company - Florissant - MO - midwest
Flanders Oud Bruin - New Belgium Brewing - Fort Collins - CO - mountain,Flanders Oud Bruin,New Belgium Brewing - Fort Collins - CO - mountain
American Wild Ale - New Belgium Brewing - Fort Collins - CO - mountain,American Wild Ale,New Belgium Brewing - Fort Collins - CO - mountain
New England IPA - New England Brewing Co. - Woodbridge - CT - new-england,New England IPA,New England Brewing Co. - Woodbridge - CT - new-england
Fruit and Field Beer - New Glarus Brewing Company - Exeter - WI - great-lakes,Fruit and Field Beer,New Glarus Brewing Company - Exeter - WI - great-lakes
American Wild Ale - New Glarus Brewing Company - Exeter - WI - great-lakes,American Wild Ale,New Glarus Brewing Company - Exeter - WI - great-lakes
American Wild Ale - New Orleans Lager & Ale Brewing Company (NOLA) - New Orleans - LA - south,American Wild Ale,New Orleans Lager & Ale Brewing Company (NOLA) - New Orleans - LA - south
Scotch Ale / Wee Heavy - No Label Brewing Company - Katy - TX - southwest,Scotch Ale / Wee Heavy,No Label Brewing Company - Katy - TX - southwest
American Imperial IPA - Noble Ale Works - Anaheim - CA - pacific,American Imperial IPA,Noble Ale Works - Anaheim - CA - pacific
English Old Ale - North Coast Brewing Co. - Fort Bragg - CA - pacific,English Old Ale,North Coast Brewing Co. - Fort Bragg - CA - pacific
American Imperial IPA - Ocelot Brewing Company - Carters - VA - south-atlantic,American Imperial IPA,Ocelot Brewing Company - Carters - VA - south-atlantic
American Imperial Stout - Odd Side Ales - Grand Haven - MI - great-lakes,American Imperial Stout,Odd Side Ales - Grand Haven - MI - great-lakes
New England IPA - Odd13 Brewing - Lafayette - CO - mountain,New England IPA,Odd13 Brewing - Lafayette - CO - mountain
American Imperial IPA - Odd13 Brewing - Lafayette - CO - mountain,American Imperial IPA,Odd13 Brewing - Lafayette - CO - mountain
Russian Imperial Stout - Odell Brewing Company - Fort Collins - CO - mountain,Russian Imperial Stout,Odell Brewing Company - Fort Collins - CO - mountain
American IPA - Odell Brewing Company - Fort Collins - CO - mountain,American IPA,Odell Brewing Company - Fort Collins - CO - mountain
