,Beer,Total_Votes,Rating,Brewery,Beer_Style,ABV,Region
56,Double Barrel Bourbon County Brand Stout,29,4.6,Goose Island Beer Co.,American Imperial Stout,17.20%,great-lakes
57,As You Wish...,200,4.43,Pipeworks Brewing Company,American Imperial Porter,11.00%,great-lakes
58,Dreadnaught IPA,"6,128",4.4,3 Floyds Brewing Co.,American Imperial IPA,9.50%,great-lakes
59,Imperial Smells Like Bean Spirit - Bourbon Barrel-Aged,62,4.49,Mikerphone Brewing,American Imperial Stout,12.00%,great-lakes
60,Crimson Snapper,444,4.41,Pipeworks Brewing Company,American Imperial IPA,9.50%,great-lakes
61,Boss Tweed,436,4.41,Old Nation Brewing Co.,New England IPA,9.30%,great-lakes
62,Citra,"1,408",4.4,Pipeworks Brewing Company,American Imperial IPA,9.50%,great-lakes
63,Bitches' Bank,234,4.41,18th Street Brewery - Gary Taproom,Russian Imperial Stout,12.00%,great-lakes
64,Imperial Smells Like Bean Spirit,161,4.42,Mikerphone Brewing,American Imperial Stout,10.75%,great-lakes
65,DRIPA (Double Rice IPA),"1,019",4.39,Kuhnhenn Brewing Company,American Imperial IPA,9.50%,great-lakes
66,Mikerphone / More - Barrel-Aged Vanillanoize,40,4.52,Mikerphone Brewing,American Imperial Stout,11.20%,great-lakes
67,Key Bump,108,4.43,Hoof Hearted Brewing,American Imperial IPA,10.50%,great-lakes
68,IBUsive,257,4.4,Fat Head's Brewery & Saloon,American Imperial IPA,8.00%,great-lakes
69,Wisconsin Belgian Red,"3,716",4.38,New Glarus Brewing Company,Fruit and Field Beer,4.00%,great-lakes
70,Creeper,403,4.39,Columbus Brewing Company,American Imperial IPA,10.00%,great-lakes
71,Raspberry Eisbock,"1,298",4.38,Kuhnhenn Brewing Company,German Eisbock,15.50%,great-lakes
72,V.S.O.D.,119,4.42,Revolution Brewing,Russian Imperial Stout,14.80%,great-lakes
73,Beer Hates Astronauts,553,4.38,Half Acre Beer Company,American IPA,7.50%,great-lakes
74,Raspberry Tart,"3,935",4.37,New Glarus Brewing Company,Fruit and Field Beer,4.00%,great-lakes
75,Spotted Puffer,430,4.38,Pipeworks Brewing Company,American Imperial IPA,9.50%,great-lakes
76,Unsessionable,"1,075",4.37,Revolution Brewing,American Imperial IPA,10.00%,great-lakes
77,Roller Blabe DIPA,351,4.38,Hoof Hearted Brewing,American Imperial IPA,8.00%,great-lakes
78,Café Deth,338,4.38,Revolution Brewing,Russian Imperial Stout,14.80%,great-lakes
79,Galaxy Unicorn,682,4.37,Pipeworks Brewing Company,American Imperial IPA,9.50%,great-lakes
80,Hazel's Nuts,503,4.37,Odd Side Ales,American Imperial Stout,11.00%,great-lakes
81,Imperial Stout,"7,948",4.36,Founders Brewing Company,Russian Imperial Stout,10.50%,great-lakes
82,French Vanilla Militia,35,4.51,3 Floyds Brewing Co.,Russian Imperial Stout,15.00%,great-lakes
83,Wulver,"1,660",4.36,Thirsty Dog Brewing Company,Scotch Ale / Wee Heavy,12.00%,great-lakes
84,Sour Reserve,394,4.37,Upland Brewing Company,Belgian Gueuze,6.00%,great-lakes
85,Wood Burner (Bourbon Barrel-Aged),378,4.37,Jackie O's Pub & Brewery,American Imperial Stout,11.00%,great-lakes
