,Beer,Total_Votes,Rating,Brewery,Beer_Style,ABV,Region,Latitude,Longitude
0,Marshmallow Handjee,"1,682",4.73,3 Floyds Brewing Co.,Russian Imperial Stout,15.00%,great-lakes,41.5355252,-87.5168114
1,Bourbon County Brand Coffee Stout,"7,404",4.67,Goose Island Beer Co.,American Imperial Stout,12.90%,great-lakes,41.887133,-87.672134
2,CBS (Canadian Breakfast Stout),"6,091",4.65,Founders Brewing Company,American Imperial Stout,11.70%,great-lakes,42.9583924,-85.6746319
3,Chemtrailmix,117,4.71,3 Floyds Brewing Co.,Russian Imperial Stout,15.00%,great-lakes,41.5355252,-87.5168114
4,V.S.O.J.,164,4.65,Revolution Brewing,British Barleywine,14.00%,great-lakes,41.9235436,-87.6981993
5,KBS (Kentucky Breakfast Stout),"13,630",4.6,Founders Brewing Company,American Imperial Stout,12.30%,great-lakes,42.9583924,-85.6746319
6,Bourbon County Brand Stout,"12,932",4.6,Goose Island Beer Co.,American Imperial Stout,15.20%,great-lakes,41.887133,-87.672134
7,Bourbon County Brand Vanilla Stout,"1,796",4.6,Goose Island Beer Co.,American Imperial Stout,14.90%,great-lakes,41.887133,-87.672134
8,Zombie Dust,"10,664",4.58,3 Floyds Brewing Co.,American Pale Ale (APA),6.20%,great-lakes,41.5355252,-87.5168114
9,BBADL (Bourbon Barrel Aged Dark Lord Imperial Stout),932,4.56,3 Floyds Brewing Co.,Russian Imperial Stout,15.00%,great-lakes,41.5355252,-87.5168114
10,Fourth Dementia - Bourbon Barrel-Aged,"1,979",4.55,Kuhnhenn Brewing Company,English Old Ale,13.50%,great-lakes,42.5621083,-82.9168755
11,Black Gold,762,4.55,Central Waters Brewing Co.,American Imperial Stout,11.00%,great-lakes,44.4422564,-89.2796641
12,Black Note Stout,"4,878",4.54,Bell's Brewery - Eccentric Café & General Store,American Imperial Stout,11.20%,great-lakes,42.294927,-85.5790038
13,Bourbon Barrel Aged Plead The 5th,"3,299",4.53,Dark Horse Brewing Company,Russian Imperial Stout,12.00%,great-lakes,42.2662122,-84.96362909999999
14,Breakfast Stout,"17,411",4.51,Founders Brewing Company,American Imperial Stout,8.30%,great-lakes,42.9583924,-85.6746319
15,Bourbon County Brand Barleywine Ale,"5,469",4.51,Goose Island Beer Co.,British Barleywine,14.40%,great-lakes,41.887133,-87.672134
16,Barrel-Aged Malevolence Chocolate Caliente,94,4.57,Spiteful Brewing,American Imperial Stout,10.50%,great-lakes,41.9799234,-87.6806239
17,Clare's Thirsty Ale,302,4.52,Haymarket Beer Co. Pub & Brewery,American Imperial Stout,12.50%,great-lakes,41.88418799999999,-87.64728149999999
18,Permanent Funeral,"3,013",4.5,3 Floyds Brewing Co.,American Imperial IPA,10.50%,great-lakes,41.5355252,-87.5168114
19,Canuckley,72,4.59,Transient Artisan Ales,American Imperial Stout,14.50%,great-lakes,41.943286,-86.5557
20,Jackie O's / Side Project - Appervation,246,4.52,Jackie O's Pub & Brewery,American Imperial Stout,15.00%,great-lakes,39.3277484,-82.10230059999999
21,No Rules,"1,353",4.49,Perrin Brewing Co.,American Imperial Porter,15.00%,great-lakes,43.07133150000001,-85.6814191
22,Solstice Stout,128,4.53,Kuhnhenn Brewing Company,American Imperial Stout,16.00%,great-lakes,42.5621083,-82.9168755
23,Bourbon Barrel Oro Negro,533,4.49,Jackie O's Pub & Brewery,American Imperial Stout,12.10%,great-lakes,39.3277484,-82.10230059999999
24,Bourbon County Brand Reserve Stout (2018),93,4.54,Goose Island Beer Co.,American Imperial Stout,15.20%,great-lakes,41.887133,-87.672134
25,Bourbon Barrel Champion Ground,627,4.48,Jackie O's Pub & Brewery,American Imperial Stout,12.00%,great-lakes,39.3277484,-82.10230059999999
26,Bodhi,"1,686",4.47,Columbus Brewing Company,American Imperial IPA,8.50%,great-lakes,39.967413,-83.069273
27,Bourbon Barrel Black Maple,"1,087",4.47,Jackie O's Pub & Brewery,American Imperial Porter,11.00%,great-lakes,39.3277484,-82.10230059999999
28,Emerald Grouper,861,4.47,Pipeworks Brewing Company,American Imperial IPA,9.50%,great-lakes,41.91834250000001,-87.72540479999999
29,Dragonsaddle,332,4.48,Hoof Hearted Brewing,New England IPA,11.50%,great-lakes,40.366809,-82.816682
30,Barrel Aged The Hyper Dog,124,4.51,Pipeworks Brewing Company,American Imperial Stout,13.00%,great-lakes,41.91834250000001,-87.72540479999999
31,Hop JuJu Imperial IPA,"2,298",4.46,Fat Head's Brewery & Saloon,American Imperial IPA,9.00%,great-lakes,41.3776876,-81.821289
32,Rye Hipster Brunch Stout,400,4.47,Odd Side Ales,American Imperial Stout,11.00%,great-lakes,43.0651042,-86.232599
33,Super Juicy Hop JuJu,94,4.52,Fat Head's Brewery & Saloon,American Imperial IPA,9.00%,great-lakes,41.3776876,-81.821289
34,Proprietor's Bourbon County Brand Stout (2018),93,4.52,Goose Island Beer Co.,American Imperial Stout,14.40%,great-lakes,41.887133,-87.672134
35,Frampaars,130,4.5,Funk Factory Geuzeria,American Wild Ale,6.00%,great-lakes,43.0500534,-89.3920862
36,Expedition Stout - Bourbon Barrel-Aged,640,4.46,Bell's Brewery - Eccentric Café & General Store,Russian Imperial Stout,13.40%,great-lakes,42.294927,-85.5790038
37,Sure Bet,619,4.46,Pipeworks Brewing Company,American Imperial IPA,9.50%,great-lakes,41.91834250000001,-87.72540479999999
38,Hopslam Ale,"13,691",4.45,Bell's Brewery - Eccentric Café & General Store,American Imperial IPA,10.00%,great-lakes,42.294927,-85.5790038
